"","stadium","full_team_name","team","team_abbr","x","y","d_wall","segment","spray_angle_stadia","fence_height","orientation","distance"
"353","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",132.168964572891,361.366416640763,384.778276767356,"outfield_outer",15.1,8,"N",384.778276767356
"354","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",121.219589225551,371.015182614405,390.31583947159,"outfield_outer",13.6,8,"N",390.31583947159
"355","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",110.287188413929,380.683246662529,396.336975587408,"outfield_outer",12.1,8,"N",396.336975587408
"356","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",99.3747887912096,390.373568833021,402.82362379921,"outfield_outer",10.7,8,"N",402.82362379921
"357","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",86.4594693413672,395.5638535,404.902459901839,"outfield_outer",9.2,8,"N",404.902459901839
"358","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",71.8653302764819,395.5638535,402.039037770609,"outfield_outer",7.7,25,"N",402.039037770609
"359","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",57.2715917719631,395.641964825416,399.76568081191,"outfield_outer",6.2,25,"N",399.76568081191
"360","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",42.8441391244441,396.010150167275,398.321050526862,"outfield_outer",4.6,25,"N",398.321050526862
"361","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",33.8782679368388,406.0456717,407.456530865201,"outfield_outer",3.6,25,"N",407.456530865201
"362","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",19.2841288719535,406.0456717,406.503339632843,"outfield_outer",2,25,"N",406.503339632843
"363","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",4.68998980706817,406.0456717,406.07275642512,"outfield_outer",0.5,25,"N",406.07275642512
"364","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-9.90414925781714,406.0456717,406.166443319516,"outfield_outer",-1,25,"N",406.166443319516
"365","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-24.4982883227025,406.0456717,406.784038080462,"outfield_outer",-2.6,25,"N",406.784038080462
"366","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-37.9171195659703,403.95003105023,405.725690019331,"outfield_outer",-4,25,"N",405.725690019331
"367","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-47.8919794760377,395.71359376,398.601166562,"outfield_outer",-5.2,25,"N",398.601166562
"368","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-62.4861185409238,395.71359376,400.616728678128,"outfield_outer",-6.7,25,"N",400.616728678128
"369","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-77.0802576058089,395.71359376,403.150858115212,"outfield_outer",-8.3,25,"N",403.150858115212
"370","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-91.6235347899434,395.037006293754,405.523252685879,"outfield_outer",-9.8,25,"N",405.523252685879
"371","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-103.199587034956,386.779068414875,400.310132932035,"outfield_outer",-11.2,8,"N",400.310132932035
"372","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-114.089968934609,377.063698573967,393.946130573432,"outfield_outer",-12.6,8,"N",393.946130573432
"373","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-124.983327850373,367.351716353182,388.031075750619,"outfield_outer",-14.1,8,"N",388.031075750619
"374","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-135.917031323831,357.685287661465,382.638477434443,"outfield_outer",-15.6,8,"N",382.638477434443
"375","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-146.767691826795,347.925664016164,377.614913695492,"outfield_outer",-17.2,8,"N",377.614913695492
"376","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-157.678546724645,338.233376502048,373.181378256167,"outfield_outer",-18.7,8,"N",373.181378256167
"377","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-168.525622118834,328.470670353893,369.179992135646,"outfield_outer",-20.4,8,"N",369.179992135646
"378","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-179.203865654733,318.524296031016,365.474694921077,"outfield_outer",-22,8,"N",365.474694921077
"379","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-190.067004883203,308.77858228385,362.587478027711,"outfield_outer",-23.7,8,"N",362.587478027711
"380","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-201.009968585381,299.122536695664,360.387707101595,"outfield_outer",-25.4,8,"N",360.387707101595
"381","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-211.957535180376,289.47180799482,358.775590506837,"outfield_outer",-27.2,8,"N",358.775590506837
"382","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-222.948637084444,279.892119158979,357.834728813618,"outfield_outer",-28.9,8,"N",357.834728813618
"383","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-236.495935932345,276.533320408316,363.869488977249,"outfield_outer",-30.4,8,"N",363.869488977249
"384","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-240.597756024257,263.035183455675,356.475508190211,"outfield_outer",-31.8,8,"N",356.475508190211
"385","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-241.661129796228,248.479836826302,346.61553768349,"outfield_outer",-33.2,8,"N",346.61553768349
"386","Chase Field","Arizona Diamondbacks","diamondbacks","ARI",-242.710831267168,233.923498429641,337.088639280475,"outfield_outer",-34.5,8,"N",337.088639280475
"387","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",241.136099165029,244.682129247599,343.53451455955,"outfield_outer",33.4,4,"NNE",343.53451455955
"388","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",239.451390248116,259.45674742106,353.064827013498,"outfield_outer",32,4,"NNE",353.064827013498
"389","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",234.861416513737,273.579347839098,360.56281634537,"outfield_outer",30.5,4,"NNE",360.56281634537
"390","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",228.084070524013,286.795076423622,366.433839987022,"outfield_outer",28.9,4,"NNE",366.433839987022
"391","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",219.386176036146,298.787965528491,370.68118724912,"outfield_outer",27.2,8,"NNE",370.68118724912
"392","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",207.141151073584,307.204711259169,370.51611447806,"outfield_outer",25.5,8,"NNE",370.51611447806
"393","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",194.747167575243,315.445275549712,370.718466150816,"outfield_outer",23.8,8,"NNE",370.718466150816
"394","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",182.335608718724,323.659336971951,371.485720608411,"outfield_outer",22,8,"NNE",371.485720608411
"395","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",169.931964641114,331.885330909349,372.860222442133,"outfield_outer",20.3,8,"NNE",372.860222442133
"396","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",157.495186518209,340.060857612981,374.761418314215,"outfield_outer",18.6,8,"NNE",374.761418314215
"397","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",144.759056984855,347.756387671398,376.682478681189,"outfield_outer",17,8,"NNE",376.682478681189
"398","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",131.869486241665,355.197854254109,378.886628252257,"outfield_outer",15.3,8,"NNE",378.886628252257
"399","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",118.764292053941,362.24701625945,381.218910674625,"outfield_outer",13.6,8,"NNE",381.218910674625
"400","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",105.488917457906,368.976217896015,383.759509431739,"outfield_outer",12,8,"NNE",383.759509431739
"401","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",91.9799316418581,375.198159835097,386.308124388401,"outfield_outer",10.3,8,"NNE",386.308124388401
"402","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",78.1946035927985,380.808894681128,388.754177211381,"outfield_outer",8.7,8,"NNE",388.754177211381
"403","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",64.4232352169863,386.453942495828,391.78693559943,"outfield_outer",7.1,8,"NNE",391.78693559943
"404","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",50.3089158150947,391.168301561587,394.390196578296,"outfield_outer",5.5,8,"NNE",394.390196578296
"405","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",36.1140179187303,395.640448419671,397.285271204399,"outfield_outer",3.9,8,"NNE",397.285271204399
"406","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",21.4241902196632,398.026541017347,398.602713589361,"outfield_outer",2.3,8,"NNE",398.602713589361
"407","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",6.59050787190566,399.08805499785,399.14246884537,"outfield_outer",0.7,8,"NNE",399.14246884537
"408","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-8.28451780483287,399.025030502289,399.111022401801,"outfield_outer",-0.9,8,"NNE",399.111022401801
"409","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-23.0924395833525,397.703817639482,398.373678009641,"outfield_outer",-2.5,8,"NNE",398.373678009641
"410","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-37.7009571569218,394.944338695399,396.739704136219,"outfield_outer",-4.1,8,"NNE",396.739704136219
"411","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-51.885965757008,390.440431057758,393.87292829935,"outfield_outer",-5.7,8,"NNE",393.87292829935
"412","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-65.9576458189337,385.612163778755,391.212412758222,"outfield_outer",-7.3,8,"NNE",391.212412758222
"413","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-79.7396524118136,379.993057117895,388.269411136855,"outfield_outer",-8.9,8,"NNE",388.269411136855
"414","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-93.5208751393858,374.372037193966,385.876374399362,"outfield_outer",-10.5,8,"NNE",385.876374399362
"415","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-106.952657012058,367.974216378685,383.202159129416,"outfield_outer",-12.2,8,"NNE",383.202159129416
"416","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-120.214399214506,361.218234506824,380.696880363802,"outfield_outer",-13.8,8,"NNE",380.696880363802
"417","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-133.267774525009,354.07892217012,378.328141765852,"outfield_outer",-15.5,8,"NNE",378.328141765852
"418","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-146.17494579835,346.668019273338,376.225770470405,"outfield_outer",-17.1,8,"NNE",376.225770470405
"419","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-158.834282712018,338.84664766191,374.226375334978,"outfield_outer",-18.8,8,"NNE",374.226375334978
"420","Dodger Stadium","Los Angeles Dodgers","dodgers","LAD",-171.249441443896,330.638094743963,372.354563408002,"outfield_outer",-20.5,8,"NNE",372.354563408002
