x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter_id,bat_handR
68.036354,103.39767,28.100838,151.2488,-71.77869,122.731995,-25.886414,151.9051,-131.69624,262.63507,8.964348,324.86328,135.13531,256.2843,516416,1
68.395454,103.35631,23.580408,152.52698,-73.7268,120.41127,-30.195498,150.57349,-132.32811,266.99774,11.986841,328.3608,131.48048,258.76108,516782,1
66.642044,103.52718,13.531414,154.53137,-75.42983,118.25241,-39.339733,146.97188,-139.2333,257.74564,-7.3502293,328.46378,122.43453,255.51897,518586,1
71.583755,102.84328,31.291803,150.19852,-72.48046,121.91322,-28.080338,151.25513,-141.25108,261.5116,3.2339852,335.9804,137.1243,261.39932,518595,1
69.56235,103.19914,28.232203,151.20801,-74.776985,119.095245,-30.559988,150.45047,-147.87991,266.31467,5.121366,344.01593,129.55632,271.62305,518626,1
75.94085,101.701645,42.38497,145.52068,-65.408165,129.39682,-0.6640509,155.49768,-138.3466,270.7417,-8.026976,339.83392,139.08095,256.41342,518692,0
76.451,101.53299,47.729412,142.63953,-59.67105,134.42136,0.0,155.5,-130.0245,267.51947,-8.711556,336.29733,141.00017,254.26949,518735,0
68.33552,103.36344,25.823042,151.92303,-72.84156,121.48448,-32.43661,149.79091,-137.88762,265.98947,1.2884753,340.0132,134.23538,259.94022,518735,1
77.378395,101.20668,49.16802,141.78656,-60.72032,133.5619,0.0,155.5,-122.84196,265.08777,6.2902308,328.4411,143.79434,246.93933,518792,0
72.20545,102.71215,34.011894,149.20282,-65.886284,128.93973,-19.284716,153.52203,-127.25468,271.74295,21.071234,331.5782,137.78198,258.0191,518934,1
76.80677,101.41084,42.68375,145.37106,-67.86022,126.98301,-12.071249,154.72995,-129.96576,263.69226,2.8885725,332.2436,148.27078,247.3025,519058,0
77.6529,101.10516,48.51086,142.18045,-61.00583,133.3237,0.0,155.5,-133.05916,266.3336,6.314796,333.93018,144.15268,252.22261,519203,0
