"launch_angle","launch_speed","spray_angle","bat_side","t","x","y"
21,101.7,2.84678388835453,"R",4.39372423420825,71.1841165268479,381.382669029459
59,78.3,-20.6277542455373,"R",5.8537828637782,-74.8934032294409,158.140186791044
5,101.2,25.3665316863876,"R",1.2077049033837,78.9420091104795,129.04944137285
-16,97.7,2.7950374898017,"L",0.141421636912567,0.879082746269156,19.0277627619473
-21,74.3,-21.9973131806462,"R",0.143834941413149,-5.42307168315169,13.2701250662537
-15,79.7,-11.8464277165059,"R",0.177334162442321,-4.040157921744,19.1335017256842
49,63.4,27.6355960455786,"R",4.50314274558516,104.079482778332,145.027619947065
-26,83.2,-7.57477470129754,"L",0.108451345031168,-1.58888368375493,11.5780890324311
20,85.7,2.94593873247065,"R",3.53632370631924,48.1698582897909,294.61852245616
-29,75.4,-32.8648902229214,"R",0.108404064371838,-5.62776755249939,8.62100901744602
41,84.2,-34.1034020809991,"L",5.18341716601373,-200.538409323822,185.578802465991
-3,82.7,21.4715054970981,"L",0.405930452484232,17.8860975318178,43.3898177009874
46,76.7,18.6110995330012,"R",5.23631021081598,109.512163472749,211.159681410541
42,99.4,5.9967393538281,"R",6.42061623393848,80.4447137879558,329.046135049425
17,112.2,1.40499533274895,"R",3.98745536495536,61.9814221390266,400.905359824693
3,68.8,16.7826386726109,"L",0.727442714964697,21.3098177886437,65.5250681359037
11,94.5,5.1493475554002,"R",2.10956204904122,43.8140420333931,225.072160145236
4,102.2,3.10091446129049,"L",0.923087559529623,3.51159563180799,123.937362843106
-1,94.2,5.6389296946141,"R",0.504684611442627,8.22032622400398,65.0451391476858
-59,60.2,34.109126225992,"L",0.0785396266694078,1.97406931160236,2.89336162335906
1,107.6,-14.6725441902239,"R",0.592276526672239,-23.0993037192793,83.3212363732364
40,70.5,15.6471359623095,"R",4.58105923048642,92.5300467159998,215.882009405949
41,62.7,-8.16393664832908,"R",4.2741830331008,-28.2625952298152,204.021321771238
-10,91.7,37.5991854187464,"L",0.215707765192515,17.1907659583622,21.6550269669634
49,83.5,37.8620013874,"R",5.54392498303424,184.904557698239,147.922386910415
-1,95.5,-24.0901336961247,"R",0.475145681758366,-26.9218929606871,56.5044056717297
19,69.4,-2.55241839393772,"L",2.70814370689815,-26.1828356354337,206.61247416802
9,100.1,32.6421807932861,"R",1.85576396383428,139.852198678045,155.673729809649
40,102.3,-1.44043888336634,"L",6.52105222313655,-46.6960620383296,360.834332540712
3,98.2,-15.2776352645001,"R",0.761042722208604,-28.3855694066702,96.057146204136
15,97.2,27.8602929347203,"R",2.82893764773054,176.196815350069,212.614293491065
17,71.5,-21.7070704708798,"L",2.39928925727069,-95.0176207766509,166.488275555947
7,81.5,34.4876199078656,"L",1.09578375202252,72.4437723662201,90.0256264688103
8,99,-24.6674143382159,"L",1.66277473682097,-103.522416454748,162.539426883543
25,92.7,-27.7820446902995,"L",4.16835451442975,-212.606223707881,241.333551807495
44,68.3,-26.5470206736939,"L",4.57605045242326,-122.599480875376,172.026662655172
27,99.1,12.4600125511435,"R",4.98466918830215,152.51405891697,345.678583586993
61,86.5,8.61189779704772,"R",6.28182625481354,47.8509949235867,162.481936746664
31,81.3,-7.0907684434339,"R",4.75943032949737,-33.094211858203,311.38623518498
11,73.9,-11.9435572390948,"L",1.70563628799782,-46.5352579764348,147.772262381428
7,80.2,-15.793637610519,"R",1.12648370138071,-36.1229456342212,113.006351725047
19,21.3,-48.6305235629762,"R",1.01754133282828,-22.4102232798588,18.543975139628
7,95.1,34.0799977721903,"L",1.16760546724694,88.0937985415525,108.928024607356
20,81.5,10.7249928585995,"L",3.39150184718999,57.5477787674479,276.879501519835
18,78.9,-19.905714427817,"L",2.78900833792876,-112.808153103981,202.960472417624
