batter_id_hand,batter_index,batter_alpha1,batter_alpha2,batter_beta1,batter_beta2,batter_w1,batter_w2,batter_shift_alpha1,batter_shift_alpha2,batter_shift_beta1,batter_shift_beta2,batter_shift_w1,batter_shift_w2
453943-1,32,3.334822261065772,2.2868916017995704,8.162098900739814,3.0753883461419385,0.4130483545487744,0.5869516454512257,3.453865417966932,2.4434282983844717,8.383777331218734,2.334805324389465,0.4037432307249313,0.5962567692750677
455117-1,33,2.8014256749548787,2.0329790711845117,8.509137003569693,1.730123186060049,0.3093916583978781,0.6906083416021209,2.6653878225241443,1.8492144094021883,7.932158389392486,1.688510192073134,0.3278267897495633,0.672173210250439
455139-1,34,2.9063602167796376,1.7470336102229822,7.703379008180678,1.6649032870588796,0.3703859980956078,0.6296140019043935,2.302795959450398,1.8923490708389366,8.499270426575176,2.07813061560215,0.3962721436344789,0.6037278563655213
456034-0,35,3.7446283595486007,2.6471118694669262,6.848941754891645,2.5982387018756667,0.3447866451645861,0.655213354835415,3.3388520044404633,3.073026717025538,7.7394813552824635,2.396118230546223,0.36792143109436976,0.6320785689056311
456501-1,36,4.43075318848389,3.1769144836554246,5.831003710310171,1.3412157299036256,0.27942473502278226,0.7205752649772175,3.405780021961179,3.02669824847557,7.727117017607044,2.403404486842572,0.36939084817043,0.6306091518295699
456715-1,37,2.5240915057169926,2.047150102382433,7.068121525706887,1.7902126718265605,0.23271913896207427,0.7672808610379268,2.594664386529803,3.0266390634600797,9.4010354018683,1.7617953239715332,0.413434484760146,0.5865655152398532
456781-1,38,2.6778641413290374,2.04395568695154,7.463159898422809,1.7294674648958752,0.25628100154582656,0.7437189984541728,2.428124494728589,2.4372111267887266,8.436058490071696,1.4116161091890977,0.3754724752149528,0.6245275247850474
457705-1,39,2.5812080473829737,1.8121328064319198,8.76879352463998,1.94125102405601,0.3374202529993453,0.6625797470006536,2.4768678436998024,1.671483388272532,7.399753578355957,1.7302607530680572,0.29086142480192084,0.709138575198077
457708-1,40,2.649275653561908,1.8174787171870637,7.658519420745331,1.7129191163198432,0.3281163743265912,0.6718836256734083,2.6877809638000403,1.9680795427770132,8.959644973915882,1.7633310280925367,0.3748738426579892,0.6251261573420122
457727-1,41,2.787936020689842,2.0523940102755938,8.439044089914931,2.184606601458523,0.4135789463558363,0.5864210536441635,2.8754704265421753,3.524014502898425,8.346317420059504,1.6005644421417615,0.3866859650335982,0.6133140349664005
457759-1,42,2.6389572136976978,2.0781733823222583,7.292640453280167,1.737412591126402,0.24730210588289867,0.7526978941171011,3.4089860329148545,2.3678582366717285,6.779627685592228,1.7547150104565883,0.27394483230082717,0.726055167699173
457763-1,43,2.997087168280511,2.0646206079659692,6.727081281797503,1.8845055740606595,0.2506681635475323,0.7493318364524666,2.2033661622231615,2.68631167267707,9.975505413700224,1.9696311603242826,0.43052465016803676,0.569475349831964
