batter_id_hand,batter_index,batter_a_gb,batter_a_ld,batter_a_fb,batter_a_pu,batter_s_gb,batter_s_ld,batter_s_fb,batter_s_pu,batter_mean_pull,batter_mean_oppo,batter_sigma_pull,batter_sigma_oppo,batter_alpha1,batter_alpha2,batter_beta1,batter_beta2,batter_w1,batter_w2
429665-1,10,5.481363176475427,5.016690708082225,7.123356317705243,11.823993815409011,6.62366035664311,5.663520961781133,4.449101242476166,3.1441506017775906,11.667114912824301,30.001966020350004,24.26945942615422,22.996480502491504,3.447375926677081,2.105862141177717,10.502571344593473,2.0995735584376445,0.42838258848593963,0.5716174115140609
429719-1,11,5.423870556307648,7.163648907258191,9.390159721594493,16.92125075198552,5.591500267938012,4.5877452470283355,3.9234033555218844,2.591353457864615,5.091926340270822,20.654523892091962,24.71119538147927,25.64977762409175,3.0665936316277405,2.041261253688104,9.22602019778172,1.937378601871804,0.3104657674489854,0.6895342325510153
430935-0,12,6.784213620030923,7.755830412132442,9.944806548259614,17.001637039793437,6.202865363429607,4.288994279121492,3.993164941360477,2.5673468818192453,0.6488912823712475,19.985663474019645,25.267843681401885,25.469897661243916,2.895485593979651,1.8520148834510697,9.357542608109693,1.7719304912076166,0.3418564120112222,0.6581435879887785
430945-1,13,6.373570506240165,6.407983594211425,8.740007315768146,18.0399076361179,5.780553260613986,5.338458084970029,4.176740336014785,2.775535284019833,6.831244012443309,19.839510744765104,23.086444873691853,24.133735257142845,3.1731607292897723,2.062844744426665,8.866084631421382,1.9398613057703615,0.29045692159869413,0.709543078401307
431145-1,14,6.419243680903039,7.040625933073955,7.848105047946682,18.659783624572277,5.501948089219451,4.422111811106756,4.324042633170676,2.282741006949324,4.914473833293909,19.56035126308173,24.167340187648254,23.468805350558746,3.179804625607584,1.9408966722513548,8.983452604359872,2.1571653332578795,0.2407273639807828,0.7592726360192177
431148-0,15,6.626621200211886,10.727646174043091,9.291495703896171,16.91734510771417,6.75726998358071,6.451264662735248,3.8971468803905673,2.597235001695254,5.4910156747096295,18.682402350486726,24.825765270352402,26.515112683006475,2.8870956216524477,2.067518764549498,9.080963692207025,1.9033263221261287,0.2986625299356487,0.7013374700643518
433587-1,16,5.8646159591254845,7.1346163349324385,9.332314484390407,17.00428724381364,5.907393152009379,4.552743813990355,3.934420333446901,2.5870037076148433,5.048532342131012,19.268730836708677,24.918238564013052,25.891737558879047,3.0120067825983257,2.2767018056637784,8.937616506766929,1.7978552985319398,0.28183853409119086,0.71816146590881
433589-1,17,6.336364903137092,7.130084981670466,9.430116582641,17.0780208715459,6.405296668380952,4.572737591785293,3.9065518692985854,2.5637401703401563,5.01533181772441,19.819208404503136,24.914175017076445,25.4914392317352,3.054628847200976,2.204694122716704,8.613939782838838,1.8696483613685764,0.28284591017200456,0.7171540898279967
434158-0,18,7.178513932570659,9.952964170732793,10.562049271875395,16.626134978690427,5.595296977401017,2.882234138676169,3.1333138733869,1.996927777129217,8.135069066408649,27.631382663435428,22.339022662314118,22.925574891723407,2.978764963601758,2.3236613001385225,12.04858194562967,1.868716028628922,0.3707318790573356,0.6292681209426645
434378-1,19,6.754799594228965,7.157250574112495,9.382661841001317,16.867338713768447,6.964377547879533,4.585739648591173,3.946122478845442,2.5845629511124093,3.912937790202747,20.62080261213032,24.894751524777725,25.640712180780884,3.0786828509106314,2.079884894689242,8.805719025611895,1.895773449881737,0.30186590083707826,0.6981340991629218
